step,sim_time,vel_x,base_height,pitch_deg,joint_err_mean,joint_err_max,torque_max,sat_ratio,dact_norm,obs_max,clip_dims,sim_hz,wall_hz,resets
50,1.0000000000000007,-0.0781607273372371,0.16825436822424197,3.8545344310058276,0.05936115280379317,0.1533593794256184,1.96,0.75,1.1387105348904072,2.486798321914693,0,49.99999999999996,334.00269485492146,0
100,1.9999999999999793,-0.14108048205539195,0.16054103978048662,5.935720749392106,0.06436777951115226,0.28032714214960575,1.96,0.75,1.1462399698892802,3.077364196123417,0,50.00000000000051,526.703307304007,0
150,2.9999999999999583,-0.10059618002035561,0.15998271944241874,3.6101622702760103,0.07505393935049019,0.2136230857203295,1.96,1.0,1.1715328432188807,1.7376069730975487,0,50.000000000000696,651.0635214108332,0
200,3.999999999999937,-0.15060180217436708,0.16235004400662895,-0.8261368532245138,0.06845039249679559,0.1280407362744272,1.96,0.6666666666666666,1.1740367765029058,2.0408195019911735,0,50.00000000000079,737.876149807271,0
250,4.999999999999916,0.2678145914604171,0.15569995589792898,6.048900139685238,0.12026514715981457,0.5289837365829246,1.96,0.9166666666666666,1.1723722369968892,5.0,1,50.000000000001066,1237.682843182731,0
300,5.999999999999894,-0.11492588669620726,0.16412972678369023,-10.556723821231886,0.07376499431129975,0.17849150143914294,1.96,0.9166666666666666,1.1201760610938072,3.669690564435157,0,50.000000000001066,1242.7166396663624,0
350,6.999999999999873,-0.16390564577092653,0.16660737684043692,-11.670524866277006,0.05399931818932071,0.223912149099883,1.96,0.8333333333333334,1.0891827231645583,2.5323519893927258,0,50.000000000001066,1248.508111124789,0
400,7.999999999999852,-0.23512010816406598,0.16837401576786157,-23.628990150818016,0.048819214679345115,0.20347671212030438,1.96,0.6666666666666666,1.089409674704075,4.8251065273743485,0,50.000000000001066,1251.4343862950873,0
450,9.000000000000007,-0.1330108736420653,0.1619604979933237,-7.356654415482452,0.06992966168710714,0.19625138685807852,1.96,1.0,1.1010279636085034,4.735069483354346,0,49.999999999998856,1257.1216807637625,1
500,10.000000000000163,-0.20864659259944335,0.1628448473485483,-8.949893192813278,0.08691293802012157,0.23016615490814796,1.96,0.9166666666666666,1.1444602820277214,4.046818148980568,0,49.99999999999663,1251.6126093256196,1
550,11.00000000000032,-0.2708275241063052,0.1565682030659637,-0.20756657233371403,0.07092030069661827,0.20473710992958513,1.96,1.0,1.1580459514260293,2.345298507679068,0,49.999999999994415,1222.3040192766696,1
600,12.000000000000476,0.02859114423334775,0.16461602085722135,5.508217728141939,0.07287623692746946,0.21780933617544443,1.96,0.9166666666666666,1.1717351362109185,3.5686095672933287,0,49.99999999999219,1217.8381503387207,1
650,13.000000000000632,-0.100957234068116,0.1621917954869761,-13.661555891776027,0.07287243805942946,0.2844036347546052,1.96,0.8333333333333334,1.1852653154730797,5.0,1,49.999999999992184,1208.1533217648982,1
700,14.000000000000789,0.20944745092225706,0.1663963383504685,-25.477147868484693,0.06371803871293297,0.21619300089123905,1.96,0.8333333333333334,1.140239439457655,3.512928548843949,0,49.999999999992184,1207.4322401639668,1
750,15.000000000000945,0.04899855010023989,0.16345352939780958,-35.96611731593209,0.06577033985915436,0.14060585880257814,1.96,0.8333333333333334,1.111897004842758,2.1298582900497016,0,49.999999999992184,1235.726959667346,1
800,16.0000000000011,0.07160551752936559,0.1640189351614032,-39.7892127044853,0.05489287382608991,0.21927972642497046,1.96,0.9166666666666666,1.100902037024498,2.6220563343093732,0,49.999999999992184,1234.4022324956597,1
850,17.000000000000902,-0.012341267214595377,0.17197629210686116,5.264904895106164,0.07505459376980705,0.21061027542581662,1.96,1.0,1.0641051986813546,2.119126245868376,0,49.999999999996625,1243.9305985618853,2
900,18.000000000000703,0.10283937765124047,0.1625264474156187,-2.941921549024935,0.07728079600001049,0.2342884165894829,1.96,0.8333333333333334,1.1182096983492373,2.890277168658914,0,50.000000000001066,1249.8565479682882,2
950,19.000000000000504,-0.05815891256485122,0.16132235180574026,2.299370156502421,0.044856709165138,0.1501809370519927,1.96,0.6666666666666666,1.1483876013755798,4.146909165069381,0,50.00000000000551,1248.4257042334002,2
1000,20.000000000000306,-0.04155089458889091,0.1654771315434174,1.426967736106932,0.05981729649945378,0.18422900453931057,1.96,1.0,1.1587588909268378,3.4951472410166575,0,50.00000000000995,1253.893920146143,2
